iter	Passed	Remaining
0	1	101
1	2	98
2	2	92
3	3	85
4	4	85
5	5	85
6	6	86
7	7	90
8	8	89
9	9	88
10	10	87
11	11	85
12	12	84
13	13	83
14	14	81
15	15	81
16	16	80
17	17	78
18	18	77
19	19	76
20	20	76
21	21	76
22	22	75
23	23	74
24	24	73
25	25	72
26	26	71
27	27	70
28	28	70
29	29	69
30	30	68
31	31	66
32	32	65
33	33	64
34	34	63
35	35	63
36	37	63
37	38	63
38	39	62
39	40	61
40	41	60
41	42	58
42	43	57
43	43	55
44	44	54
45	45	53
46	46	52
47	47	51
48	48	50
49	49	49
50	50	48
51	51	47
52	52	46
53	53	45
54	54	44
55	55	43
56	56	42
57	56	41
58	57	40
59	58	39
60	59	38
61	60	37
62	61	36
63	62	35
64	63	34
65	64	33
66	65	32
67	66	31
68	66	30
69	69	29
70	70	28
71	71	27
72	72	26
73	72	25
74	73	24
75	74	23
76	75	22
77	76	21
78	77	20
79	79	19
80	80	18
81	82	18
82	83	17
83	84	16
84	85	15
85	86	14
86	87	13
87	88	12
88	89	11
89	89	9
90	90	8
91	91	7
92	92	6
93	94	6
94	95	5
95	96	4
96	97	3
97	98	2
98	99	1
99	100	0
