iter	Passed	Remaining
0	257	257730
1	260	129772
2	261	86946
3	263	65499
4	264	52660
5	266	44099
6	267	37963
7	269	33367
8	270	29783
9	271	26903
10	273	24617
11	275	22721
12	277	21069
13	279	19655
14	281	18476
15	282	17398
16	284	16444
17	285	15601
18	287	14866
19	290	14212
20	291	13606
21	293	13048
22	295	12534
23	296	12062
24	298	11625
25	299	11224
26	301	10851
27	302	10517
28	304	10201
29	306	9922
30	308	9636
31	309	9367
32	311	9125
33	312	8887
34	314	8664
35	315	8458
36	318	8292
37	320	8118
38	322	7938
39	323	7770
40	326	7627
41	327	7472
42	329	7329
43	331	7203
44	333	7079
45	335	6948
46	336	6820
47	337	6699
48	339	6583
49	340	6471
50	341	6362
51	343	6257
52	344	6156
53	346	6062
54	347	5972
55	348	5881
56	350	5794
57	353	5746
58	355	5667
59	356	5588
60	358	5513
61	359	5438
62	362	5386
63	363	5319
64	365	5250
65	366	5183
66	367	5117
67	368	5053
68	369	4990
69	371	4930
70	372	4873
71	373	4818
72	375	4770
73	377	4721
74	378	4667
75	379	4616
76	381	4568
77	382	4520
78	383	4472
79	384	4425
80	385	4379
81	387	4333
82	387	4284
83	389	4242
84	390	4207
85	392	4170
86	393	4129
87	394	4091
88	396	4054
89	397	4017
90	398	3982
91	399	3945
92	400	3910
93	402	3878
94	405	3863
95	407	3834
96	408	3802
97	409	3772
98	411	3742
99	412	3712
100	413	3682
101	414	3653
102	416	3624
103	417	3597
104	420	3584
105	421	3557
106	423	3531
107	424	3504
108	425	3477
109	426	3451
110	427	3426
111	428	3401
112	430	3381
113	432	3358
114	434	3342
115	436	3323
116	437	3300
117	438	3280
118	440	3259
119	441	3239
120	443	3219
121	444	3196
122	445	3176
123	446	3155
124	448	3136
125	449	3119
126	451	3101
127	452	3082
128	454	3068
129	455	3049
130	457	3033
131	458	3014
132	459	2996
133	460	2979
134	462	2962
135	463	2946
136	465	2932
137	466	2916
138	468	2900
139	469	2883
140	470	2867
141	471	2849
142	472	2833
143	474	2818
144	475	2802
145	476	2788
146	478	2775
147	479	2761
148	480	2746
149	482	2731
150	483	2716
151	484	2701
152	485	2686
153	486	2672
154	487	2659
155	488	2645
156	490	2631
157	491	2621
158	493	2611
159	495	2600
160	496	2587
161	497	2575
162	499	2563
163	500	2550
164	501	2537
165	502	2525
166	503	2512
167	504	2499
168	506	2490
169	508	2480
170	509	2472
171	511	2462
172	512	2450
173	513	2439
174	515	2428
175	516	2417
176	517	2407
177	518	2395
178	520	2387
179	523	2383
180	524	2374
181	526	2364
182	527	2355
183	529	2346
184	530	2336
185	531	2326
186	532	2316
187	535	2311
188	537	2306
189	538	2297
190	540	2288
191	541	2279
192	542	2270
193	544	2261
194	545	2252
195	546	2243
196	548	2236
197	550	2228
198	551	2220
199	553	2212
200	555	2206
201	556	2198
202	557	2190
203	559	2181
204	560	2173
205	562	2169
206	564	2162
207	566	2156
208	567	2148
209	569	2141
210	570	2133
211	571	2125
212	573	2117
213	574	2109
214	575	2101
215	577	2096
216	580	2094
217	581	2086
218	583	2080
219	585	2076
220	587	2069
221	588	2062
222	589	2055
223	591	2049
224	593	2044
225	595	2038
226	596	2031
227	597	2023
228	598	2016
229	600	2009
230	601	2001
231	602	1995
232	604	1988
233	605	1980
234	606	1975
235	609	1973
236	611	1968
237	612	1962
238	614	1955
239	615	1948
240	616	1943
241	618	1936
242	619	1930
243	622	1928
244	624	1922
245	625	1916
